sample,Type,Family
UN_7D7_2A,Anal,Circoviridae
UN_7D7_2A,Anal,Parvoviridae
UN_7D7_2A,Anal,Parvoviridae
UN_7D7_2A,Anal,Parvoviridae
UN_7D7_2A,Anal,Picornaviridae
UN_MBA190999,Anal,Papillomaviridae
UN_MBA191001,Anal,Parvoviridae
UN_MBA191002,Anal,Parvoviridae
UN_MBA191003,Anal,Parvoviridae
UN_MBA191004,Anal,Parvoviridae
UN_MBA191005,Anal,Parvoviridae
UN_MBA191005,Anal,Circoviridae
UN_MBA191007,Anal,Circoviridae
UN_MBA191007,Anal,Parvoviridae
UN_MBA191009,Anal,Circoviridae
UN_MBA191009,Anal,Parvoviridae
UN_MBA191010,Anal,Parvoviridae
UN_MBA191010,Anal,Circoviridae
UN_MBA191013,Anal,Parvoviridae
UN_MBA191015,Anal,Circoviridae
UN_MBA191015,Anal,Parvoviridae
UN_MBA191016,Anal,Parvoviridae
UN_MBA191017,Anal,Parvoviridae
UN_MBA191019,Anal,Parvoviridae
UN_MBA191021,Anal,Parvoviridae
UN_MBA191023,Anal,Circoviridae
UN_MBA191023,Anal,Circoviridae
UN_MBA191024,Anal,Paramyxoviridae
UN_MBA191024,Anal,Picornaviridae
UN_MBA191025,Anal,Parvoviridae
UN_MBA191026,Anal,Parvoviridae
UN_MBA191026,Anal,Circoviridae
UN_MBA191027,Anal,Flaviviridae
UN_MBA191027,Anal,Parvoviridae
UN_MBA191028,Anal,Circoviridae
UN_MBA191031,Anal,Circoviridae
UN_MBA191037,Anal,Parvoviridae
UN_MBA191038,Anal,Parvoviridae
UN_MBA191053,Anal,Parvoviridae
UN_MBA191054,Anal,Flaviviridae
UN_MBA191059,Anal,Flaviviridae
UN_MBA191059,Anal,Papillomaviridae
UN_MBA191062,Anal,Parvoviridae
UN_MBA191068,Anal,Flaviviridae
UN_MBA191071,Anal,Flaviviridae
UN_MBA191074,Anal,Parvoviridae
UN_MBA191078,Anal,Parvoviridae
UN_MBA191079,Anal,Parvoviridae
UN_7D11_4O,Oral,Circoviridae
UN_7D11_4O,Oral,Parvoviridae
UN_7D11_4O,Oral,Parvoviridae
UN_7D7_2O,Oral,Circoviridae
UN_7D7_2O,Oral,Parvoviridae
UN_7D7_2O,Oral,Parvoviridae
UN_7D7_2O,Oral,Parvoviridae
UN_MBO190999,Oral,Parvoviridae
UN_MBO191000,Oral,Papillomaviridae
UN_MBO191000,Oral,Parvoviridae
UN_MBO191001,Oral,Parvoviridae
UN_MBO191002,Oral,Parvoviridae
UN_MBO191002,Oral,Picornaviridae
UN_MBO191003,Oral,Parvoviridae
UN_MBO191004,Oral,Parvoviridae
UN_MBO191005,Oral,Circoviridae
UN_MBO191007,Oral,Circoviridae
UN_MBO191007,Oral,Parvoviridae
UN_MBO191009,Oral,Circoviridae
UN_MBO191010,Oral,Circoviridae
UN_MBO191013,Oral,Parvoviridae
UN_MBO191017,Oral,Parvoviridae
UN_MBO191018,Oral,Circoviridae
UN_MBO191020,Oral,Parvoviridae
UN_MBO191022,Oral,Circoviridae
UN_MBO191023,Oral,Circoviridae
UN_MBO191023,Oral,Circoviridae
UN_MBO191024,Oral,Parvoviridae
UN_MBO191025,Oral,Parvoviridae
UN_MBO191026,Oral,Parvoviridae
UN_MBO191028,Oral,Parvoviridae
UN_MBO191031,Oral,Parvoviridae
UN_MBO191033,Oral,Parvoviridae
UN_MBO191040,Oral,Parvoviridae
UN_MBO191042,Oral,Parvoviridae
UN_MBO191043,Oral,Parvoviridae
UN_MBO191045,Oral,Parvoviridae
UN_MBO191048,Oral,Parvoviridae
UN_MBO191051,Oral,Parvoviridae
UN_MBO191052,Oral,Papillomaviridae
UN_MBO191052,Oral,Parvoviridae
UN_MBO191053,Oral,Parvoviridae
UN_MBO191053,Oral,unclassified Picornavirales family
UN_MBO191054,Oral,Flaviviridae
UN_MBO191055,Oral,Parvoviridae
UN_MBO191059,Oral,Flaviviridae
UN_MBO191061,Oral,Parvoviridae
UN_MBO191064,Oral,Parvoviridae
UN_MBO191065,Oral,Parvoviridae
UN_MBO191068,Oral,Flaviviridae
UN_MBO191068,Oral,Parvoviridae
UN_MBO191071,Oral,Flaviviridae
UN_MBO191073,Oral,Parvoviridae
UN_MBO191076,Oral,Papillomaviridae
